"happiness","trust"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Depends"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Depends"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Depends"
"Not too happy","Can't be too careful"
"Pretty happy","Depends"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Depends"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Depends"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Depends"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Depends"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can trust"
"Not too happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Depends"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Depends"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Very happy","Depends"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Not too happy","Depends"
"Very happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Depends"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Depends"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Depends"
"Very happy","Can trust"
"Very happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Depends"
"Very happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Depends"
"Not too happy","Depends"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can trust"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Not too happy","Can't be too careful"
"Not too happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Depends"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Depends"
"Pretty happy","Depends"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Depends"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Very happy","Can trust"
"Not too happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can trust"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Not too happy","Can trust"
"Pretty happy","Can trust"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Can trust"
"Very happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Not too happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can't be too careful"
"Pretty happy","Depends"
"Pretty happy","Depends"
"Very happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Pretty happy","Depends"
"Not too happy","Can't be too careful"
"Not too happy","Can trust"
"Very happy","Can trust"
"Pretty happy","Can't be too careful"
"Pretty happy","Can't be too careful"
"Very happy","Can trust"
"Pretty happy","Depends"
"Pretty happy","Can trust"
"Very happy","Depends"
